##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	27379_R2.fastq.gz
1118	10-14	0.495959928991887
1118	15-19	0.5172470582419564
1118	20-24	0.5802737609423261
1118	25-29	0.6454925005531962
1118	30-34	0.7023229720878561
1118	35-39	0.7551342202800697
1118	40-44	0.784564786147179
1118	45-49	0.8307909259522646
1118	50-54	0.9827105238164435
1118	55-59	1.0334854463549732
1118	60-64	1.0928486336050938
1118	65-69	1.1413043300272818
1118	70-74	1.225993563119232
1118	75-79	1.098531918998404
1118	80-84	1.0950700617211098
1118	85-89	1.0399864656732163
1118	90-94	1.0523301216589616
1118	95-99	1.1470782692654282
1118	100-104	1.265195584891032
1118	105-109	1.2742051944305786
1118	110-114	1.2518188730754076
1118	115-119	1.2376308688907045
1118	120-124	1.5099792115213901
1118	125-129	1.4610467571419719
1118	130-134	1.5599710064375145
1118	135-139	1.8370107746286237
1118	140-144	1.9334914166404786
1118	145-149	1.940786219655653
1118	150-151	1.5468666168798997
1119	1	0.10769743051865888
1119	2	0.07782995196010489
1119	3	0.17937315450045332
1119	4	0.2766373206398356
1119	5	0.2794290551274088
1119	6	0.5172549192150342
1119	7	0.3758986688936261
1119	8	0.3809290542798891
1119	9	0.45767127885115144
1119	10-14	0.49536106480965714
1119	15-19	0.5224402113175373
1119	20-24	0.5888147310181324
1119	25-29	0.6606001832643997
1119	30-34	0.6958075655573239
1119	35-39	0.7579694030869817
1119	40-44	0.8022700315259357
1119	45-49	0.8598082897059456
1119	50-54	0.9813730152220188
1119	55-59	1.0525017079075667
1119	60-64	1.0990538641519834
1119	65-69	1.1659676882828336
1119	70-74	1.2160980996108393
1119	75-79	1.1245464211487501
1119	80-84	1.1511440742605856
1119	85-89	1.1530476846815176
1119	90-94	1.1386190649302463
1119	95-99	1.2097184262848018
1119	100-104	1.2498177244528605
1119	105-109	1.333437014302227
1119	110-114	1.2587165725932365
1119	115-119	1.4171317804003039
1119	120-124	1.5602427181605876
1119	125-129	1.6276748047115674
1119	130-134	1.615021661197062
1119	135-139	1.852742935580828
1119	140-144	2.109988034288918
1119	145-149	2.141986058060578
1119	150-151	1.828418843990292
1120	1	-0.02150390462632501
1120	2	-0.014593544497216726
1120	3	0.07219157790755304
1120	4	0.16127330215800129
1120	5	0.1628756137518792
1120	6	0.3334111511843858
1120	7	0.21623164226837588
1120	8	0.27175595501016403
1120	9	0.37135789096723926
1120	10-14	0.4338298114715826
1120	15-19	0.42368445673217536
1120	20-24	0.5012037406083394
1120	25-29	0.5772891874538644
1120	30-34	0.5982623352510785
1120	35-39	0.6476843085975972
1120	40-44	0.7218209906544715
1120	45-49	0.7712402824379296
1120	50-54	0.8753027052203848
1120	55-59	0.9174426034053482
1120	60-64	0.9341926910364506
1120	65-69	1.0139400907253133
1120	70-74	1.0899394766683344
1120	75-79	1.0311043906089452
1120	80-84	1.0610415316670725
1120	85-89	1.082577501226254
1120	90-94	1.0887108677456254
1120	95-99	1.1202119287216021
1120	100-104	1.187122614317019
1120	105-109	1.2507705587866198
1120	110-114	1.3076817542101367
1120	115-119	1.3669196249856128
1120	120-124	1.5073765146351192
1120	125-129	1.4572421869253915
1120	130-134	1.5944064345126563
1120	135-139	1.7686537958150481
1120	140-144	1.9767176677617684
1120	145-149	2.1235696852390227
1120	150-151	1.6783482018286158
1121	1	-0.29058277301189506
1121	2	-0.301309388288189
1121	3	-0.4567321278692589
1121	4	-0.3498333565601399
1121	5	-0.24257242316253524
1121	6	-0.3094091185596426
1121	7	-0.40795182913718264
1121	8	-0.2505311974844986
1121	9	0.0029005257602037204
1121	10-14	0.08393671494982158
1121	15-19	0.09995612009989685
1121	20-24	0.13991343476552487
1121	25-29	0.1656414146883165
1121	30-34	0.15222730509077564
1121	35-39	0.1673185198190552
1121	40-44	0.1836561724016761
1121	45-49	0.2462133015227579
1121	50-54	0.2365472860614446
1121	55-59	0.3524889210957767
1121	60-64	0.4142289366068468
1121	65-69	0.5240066809520627
1121	70-74	0.4894053257212292
1121	75-79	0.3844385693629846
1121	80-84	0.5467882145350345
1121	85-89	0.45817421919735324
1121	90-94	0.3938516665600318
1121	95-99	0.5347550673105559
1121	100-104	0.6451974572189627
1121	105-109	0.6805370317128947
1121	110-114	0.639859996151948
1121	115-119	0.6738336367353241
1121	120-124	0.5777650923683808
1121	125-129	0.6940498926593506
1121	130-134	0.6905942533224518
1121	135-139	0.8526400130747973
1121	140-144	1.0038499802640928
1121	145-149	1.2495253500781764
1121	150-151	0.9662264079855696
1122	1	-0.20403900786453022
1122	2	-0.362771280541768
1122	3	-0.30730724712258706
1122	4	-0.13947489497433452
1122	5	-0.1076995686866482
1122	6	-0.12791651892783307
1122	7	-0.20303881096631926
1122	8	-0.0986788690937459
1122	9	0.14367451905170014
1122	10-14	0.20291738466326592
1122	15-19	0.19872663924078893
1122	20-24	0.22775543604421244
